Microarray_ID	Gene_name	Locus	5 min_b1t1	5 min_b1t2	5 min_b2t1	5 min_b2t2	15 min_b1t1	15 min_b1t2	15 min_b2t1	15 min_b2t2	30 min_b1t1	30 min_b2t1	60 min_b1t1	60 min_b1t2	60 min_b2t1	60 min_b2t2	Probe position	Description	Function	AUC
A_07_P000070	rpoD	b3067	0.70	0.91	0.75	0.78	0.55	0.70	0.61	0.64	0.69	0.63	0.61	0.87	0.69	0.86	chr:3212272-3212331	"RNA polymerase, sigma 70 (sigma D) factor"	"RNA polymerase, sigma [b3067]"	-29.896
A_07_P000074	mug	b3068	0.99	1.32	0.84	1.07	1.23	2.15	1.76	2.20	1.18	1.95	0.56	0.81	1.64	2.03	chr:3213216-3213157	G/U mismatch-specific DNA glycosylase	"orf, hypothetical protein [b3068]"	26.709
A_07_P000079	yqjH	b3070	1.10	1.41	1.14	1.47	1.34	2.03	1.41	1.83	1.15	1.49	0.72	1.05	1.73	2.24	chr:3213875-3213816	predicted siderophore interacting protein	"orf, hypothetical protein [b3070]"	25.070
A_07_P000083	yqjI	b3071	0.93	1.34	1.61	2.49	1.27	1.80	2.07	2.42	1.54	2.45	1.25	2.02	2.51	4.49	chr:3215329-3215388	predicted transcriptional regulator	"orf, hypothetical protein [b3071]"	53.502
A_07_P000086	aer	b3072	1.06	1.58	0.65	1.33	1.26	1.51	0.95	1.27	1.13	1.16	0.49	0.78	0.99	2.05	chr:3216043-3215984	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component	"aerotaxis sensor receptor, flavoprotein [b3072]"	7.424
A_07_P000092	ygjG	b3073	0.32	0.40	0.13	0.21	0.11	0.13	0.07	0.10	0.12	0.11	0.10	0.11	0.17	0.23	chr:3218683-3218742	"putrescine:2-oxoglutaric acid aminotransferase, PLP-dependent"	probable ornithine aminotransferase [b3073]	-163.754
A_07_P000096	ygjH	b3074	2.19	0.64	1.39	0.69	5.34	3.14	3.41	0.68	2.60	0.77	1.56	0.60	1.76	0.65	chr:3219107-3219048	conserved protein	putative tRNA synthetase [b3074]	28.522
A_07_P000102	ebgR	b3075	1.32	1.43	1.82	2.10	1.69	2.42	2.51	2.47	1.94	1.68	1.35	1.89	1.09	1.23	chr:3219954-3220013	DNA-binding transcriptional repressor	regulator of ebg operon [b3075]	43.944
A_07_P000106	ebgA	b3076	0.68	0.62	1.36	0.66	0.97	0.71	1.44	0.88	0.61	0.75	0.91	0.38	0.80	0.72	chr:3223687-3223746	"cryptic beta-D-galactosidase, alpha subunit"	"evolved beta-D-galactosidase, alpha subunit; cryptic gene [b3076]"	-23.881
A_07_P000114	ebgC	b3077	1.32	1.32	0.43	0.58	0.36	0.35	0.36	0.32	0.42	0.01	0.50	0.48	0.68	0.67	chr:3224125-3224184	"cryptic beta-D-galactosidase, beta subunit"	"evolved beta-D-galactosidase, beta subunit; cryptic gene [b3077]"	-121.469
A_07_P000117	ygjI	b3078	1.07	0.67	1.26	0.78	2.21	1.01	2.12	1.07	0.84	0.99	0.65	0.42	1.04	0.71	chr:3225594-3225653	predicted transporter	putative oxidoreductase [b3078]	-4.932
A_07_P000124	ygjJ	b3079									1.20		1.23	1.25			chr:3226830-3226889	conserved protein	"orf, hypothetical protein [b3079]"	NaN
A_07_P000129	ygjK	b3080	0.84	1.57		1.25	0.76	1.01	0.52		0.53		0.26	0.84		2.23	chr:3228760-3228819	predicted glycosyl hydrolase	putative isomerase [b3080]	NaN
A_07_P000131	fadH	b3081	0.06	0.11	0.11	0.10	0.08	0.14	0.07	0.13	0.08	0.17	0.04	0.08	0.10	0.18	chr:3231171-3231230	"2,4-dienoyl-CoA reductase, NADH and FMN-linked"	putative NADPH dehydrogenase [b3081]	-179.716
A_07_P000138	ygjM	b3082	1.16	0.92	1.00	0.94	1.30	1.08	1.06	1.19	1.28	1.17	1.03	0.80	1.70	1.45	chr:3231901-3231842	predicted DNA-binding transcriptional regulator	"orf, hypothetical protein [b3082]"	12.927
A_07_P000142	ygjN	b3083	1.68	0.84	2.00	0.99	4.51	2.47	3.06	1.28	1.94	1.26	2.00	1.13	2.23	0.97	chr:3232304-3232245	conserved protein	"orf, hypothetical protein [b3083]"	41.970
A_07_P000149	rlmG	b3084	2.97	3.58	3.55	2.94	2.47	3.67	6.49	5.23	4.21	6.66	2.27	2.98	6.01	6.03	chr:3232843-3232784	predicted methyltransferase small domain	putative enzyme [b3084]	118.226
A_07_P000154	ygjP	b3085	1.49	1.92	1.88	2.12	1.69	1.77	2.19	2.27	1.95	1.78	1.60	1.93	1.19	1.32	chr:3234354-3234413	predicted metal dependent hydrolase	"orf, hypothetical protein [b3085]"	45.308
A_07_P000160	ygjQ	b3086	1.11	1.26	1.61	1.40	1.10	1.19			1.46		1.08	1.07	1.32	2.09	chr:3234851-3234910	predicted thioredoxin-like protein	"orf, hypothetical protein [b3086]"	NaN
A_07_P000165	ygjR	b3087	0.27	0.36	0.21	0.25	0.20	0.30	0.19	0.22	0.27	0.24	0.22	0.36	0.32	0.41	chr:3235816-3235875	predicted NAD(P)-binding dehydrogenase	"orf, hypothetical protein [b3087]"	-106.235
A_07_P000170	alx	b3088	1.71	2.09	1.42	1.45	1.55	1.77	1.46	1.42	2.17	2.08	1.25	1.53	2.10	2.10	chr:3237493-3237552	"predicted inner membrane protein, part of terminus"	putative transport protein [b3088]	47.412
A_07_P000173	sstT	b3089	0.84	1.27	0.59	1.14	0.84	0.93	0.60	0.80	0.71	0.87	0.50	0.89	0.23	0.46	chr:3238472-3238531	sodium:serine/threonine symporter	putative transport protein [b3089]	-29.394
A_07_P000176	ygjV	b3090	1.31	1.79	0.93	1.18	1.71	2.44	1.59	2.46	1.95	3.41	1.19	1.63	2.04	2.99	chr:3239308-3239249	conserved inner membrane protein	"orf, hypothetical protein [b3090]"	58.464
A_07_P000185	uxaA	b3091	0.50	0.62	0.27	0.73	0.53	0.69	0.55	0.76	0.36	0.53	0.47	0.52	0.29	0.33	chr:3240372-3240313	altronate hydrolase	altronate hydrolase [b3091]	-61.013
A_07_P000188	uxaC	b3092	0.64	0.74	0.49	1.17	1.18	1.17	0.57	1.02	0.62	0.75	0.64	0.85	0.17	0.36	chr:3241412-3241353	uronate isomerase	uronate isomerase [b3092]	-34.208
A_07_P000192	exuT	b3093	0.59	0.85	0.25	0.39	0.36	0.36	0.32	0.25	0.43	0.01	0.38	0.45	0.32	0.33	chr:3243999-3244058	hexuronate transporter	transport of hexuronates [b3093]	-136.183
A_07_P000199	exuR	b3094	0.84	0.61	1.09	0.95	0.89	0.69	1.17	0.99	1.07	0.87	1.21	0.94	1.34	0.97	chr:3245328-3245387	DNA-binding transcriptional repressor	"negative regulator of exu regulon, exuT, uxaAC, and uxuB [b3094]"	-1.562
A_07_P000202	yqjA	b3095	1.04	1.11	1.13	1.10	0.80	0.99	1.43	1.38	1.07	1.31	0.64	0.90	2.35	2.39	chr:3246287-3246346	conserved inner membrane protein	"orf, hypothetical protein [b3095]"	14.610
A_07_P000206	yqjB	b3096	1.01	1.25	1.35	1.44	1.21	1.29	1.56	1.46	1.37	1.52	0.98	1.13	2.25	2.38	chr:3246657-3246716	conserved protein	"orf, hypothetical protein [b3096]"	28.785
A_07_P000212	yqjC	b3097	0.21	0.20	0.21	0.20	0.15	0.12	0.18	0.16	0.16	0.22	0.27	0.27	0.35	0.34	chr:3247090-3247149	conserved protein	"orf, hypothetical protein [b3097]"	-126.305
A_07_P000219	yqjD	b3098	0.36	0.47	0.33	0.33	0.32	0.38	0.21	0.21	0.15	0.26	0.25	0.35	0.31	0.35	chr:3247464-3247523	conserved protein	"orf, hypothetical protein [b3098]"	-108.961
A_07_P000224	yqjE	b3099	0.49	0.63	0.25	0.37	0.34	0.32	0.17	0.24	0.27	0.31	0.26	0.32	0.29	0.46	chr:3247845-3247904	conserved inner membrane protein	"orf, hypothetical protein [b3099]"	-95.491
A_07_P000229	yqjK	b3100	0.45	0.88	0.26	0.38	0.23	0.29	0.17	0.24	0.23	0.30	0.18	0.32	0.34	0.55	chr:3248184-3248243	conserved protein	"orf, hypothetical protein [b3100]"	-100.525
A_07_P000235	yqjF	b3101	0.62	0.63	0.50	0.74	0.61	0.51	0.95	1.14	0.64	1.03	1.07	1.19	0.45	0.54	chr:3248834-3248893	predicted quinol oxidase subunit	"orf, hypothetical protein [b3101]"	-21.543
A_07_P000240	yqjG	b3102	0.22	0.41	0.22	0.40	0.20	0.28	0.21	0.27	0.18	0.27	0.31	0.54	0.40	0.77	chr:3249919-3249978	predicted S-transferase	putative transferase [b3102]	-99.920
A_07_P000243	yhaH	b3103	0.46	0.57	0.36	0.40	0.32	0.29	0.31	0.39	0.38	0.43	0.53	0.53	0.30	0.41	chr:3250573-3250632	predicted inner membrane protein	putative cytochrome [b3103]	-73.808
A_07_P000250	yhaI	b3104	0.90	0.67	0.83	0.43	0.61	0.46	0.78	0.60	0.98	0.71	1.25	1.00	2.52	1.41	chr:3250960-3251019	predicted inner membrane protein	putative cytochrome [b3104]	-9.766
A_07_P000254	yhaJ	b3105	0.76	1.58	1.24	2.16	0.81	1.46	1.28	2.07	1.03	2.02	0.72	1.66	0.85	1.67	chr:3251779-3251720	predicted DNA-binding transcriptional regulator	putative transcriptional regulator LYSR-type [b3105]	22.089
A_07_P000257	yhaK	b3106	1.12	0.78	1.06	0.78	1.74	1.24	0.87	0.87	1.25	0.72	1.30	1.01	0.51	0.41	chr:3252532-3252591	predicted pirin-related protein	"orf, hypothetical protein [b3106]"	-6.993
A_07_P000264	yhaL	b3107	0.37	0.36	0.45	0.40	0.45	0.45	0.50	0.45	0.57	0.55	0.79	0.71	0.72	0.68	chr:3253139-3253198	predicted protein	"orf, hypothetical protein [b3107]"	-46.359
A_07_P000269	yhaM	b3108	1.49	1.65	1.42	1.58	1.30	1.65	1.67	2.10	1.65	2.22	1.50	1.59	1.11	1.41	chr:3253440-3253381	conserved protein	"orf, hypothetical protein [b3108]"	40.429
A_07_P000272	yhaM	b4470	1.27	1.33	1.22	1.22	0.94	0.82	1.16	0.78	1.20	1.02	0.82	0.89	2.24	2.18	chr:3254666-3254607	conserved protein	conserved protein [b4470]	10.274
A_07_P000276	yhaO	b3110	0.92	1.14	0.58	1.08	0.96	0.79	0.93	0.95	1.02	1.19	0.81	0.93	1.30	1.77	chr:3254795-3254736	predicted transporter	putative transport system permease protein [b3110]	3.512
A_07_P000282		b3111	1.20	1.18	1.05	1.18	1.03	1.46	0.84	1.44	1.29	1.50	0.82	0.82	1.78	1.86	chr:3256421-3256362	ANNOTATION DISCONTINUED	ANNOTATION DISCONTINUED [b3111]	18.747
A_07_P000290	tdcG	b4471	0.60	0.68	0.82	0.94	0.72	0.47	0.69		0.47	0.90	0.64	0.73	0.22	0.96	chr:3257356-3257297	L-serine dehydratase 3	putative L-serine dehydratase [b4471]	NaN
A_07_P000294	tdcF	b3113	0.75	0.88	0.99	1.22	0.77	0.78	0.82	0.85	0.73	0.86	0.68	0.83	1.23	1.12	chr:3257898-3257839	predicted L-PSP (mRNA) endoribonuclease	"orf, hypothetical protein [b3113]"	-13.343
A_07_P000296	tdcE	b3114	1.30	1.51	1.14	1.27	0.85	0.95	0.65	0.93	0.93	0.59	0.96	1.10	0.50	0.76	chr:3259242-3259183	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase	probable formate acetyltransferase 3 [b3114]	-16.117
A_07_P000305	tdcD	b3115	2.16	1.08									1.75	1.09			chr:3260629-3260570	"propionate kinase/acetate kinase C, anaerobic"	putative kinase [b3115]	NaN
A_07_P000306	tdcC	b3116	0.86	1.07			0.68	1.10	0.34				0.75	0.81		0.83	chr:3261772-3261713	L-threonine/L-serine transporter	"anaerobically inducible L-threonine, L-serine permease [b3116]"	NaN
A_07_P000312	tdcB	b3117			1.16									0.81			chr:3263321-3263262	"catabolic threonine dehydratase, PLP-dependent"	"threonine dehydratase, catabolic [b3117]"	NaN
A_07_P000316	tdcA	b3118	0.23	0.15	0.19	0.09	0.24	0.16	0.17	0.14	0.21		0.22	0.14	0.42	0.22	chr:3264286-3264227	DNA-binding transcriptional activator	transcriptional activator of tdc operon [b3118]	NaN
A_07_P000323	tdcR	b3119			1.29	0.72				0.32		0.01	1.73	0.91		0.25	chr:3265337-3265396	DNA-binding transcriptional activator	threonine dehydratase operon activator protein [b3119]	NaN
A_07_P000330	yhaB	b3120			0.84	1.80	1.24								0.01		chr:3266294-3266353	predicted protein	"orf, hypothetical protein [b3120]"	NaN
A_07_P000331	yhaC	b3121	1.61	1.49	1.40		2.06	1.22			4.00		3.58	6.55	2.96	2.94	chr:3267495-3267554	predicted protein	"orf, hypothetical protein [b3121]"	NaN
A_07_P000340		b3122	0.76	0.64	0.80	0.62	0.44	0.41	0.58	0.40	0.50	0.47	0.57	0.43	1.26	1.02	chr:3267769-3267828	ANNOTATION DISCONTINUED	ANNOTATION DISCONTINUED [b3122]	-46.496
A_07_P000343	garK	b3124	0.74	1.22	0.93	1.01	1.01	1.61	1.01	1.27	0.85	1.43	0.66	0.96	0.94	1.41	chr:3268995-3268936	glycerate kinase I	"orf, hypothetical protein [b3124]"	5.106
A_07_P000346	garR	b3125	0.74	1.04	0.60	0.80	0.91	1.48	0.44	0.84	0.76	0.86	0.65	0.78	0.39	0.65	chr:3270545-3270486	tartronate semialdehyde reductase	putative dehydrogenase [b3125]	-22.891
A_07_P000355	garL	b3126	0.72	0.91	0.84	0.68	0.63	1.01	0.50		1.01		0.74	1.00	0.31	0.56	chr:3271153-3271094	alpha-dehydro-beta-deoxy-D-glucarate aldolase	"orf, hypothetical protein [b3126]"	NaN
A_07_P000357	garP	b3127					0.01										chr:3272161-3272102	predicted (D)-galactarate transporter	putative transport protein [b3127]	NaN
A_07_P000361	garD	b3128	0.42	0.53	0.37	0.54	0.36	0.46	0.46	0.68	0.53	0.56	0.36	0.46	0.29	0.51	chr:3274696-3274755	(D)-galactarate dehydrogenase	putative hydrolase [b3128]	-58.802
A_07_P000370	sohA	b3129	1.04	1.07	0.76	0.77	1.11	1.15	0.89	0.85	1.12	0.68	0.79	0.84	0.61	0.59	chr:3275285-3275344	predicted regulator	putative protease; htrA suppressor protein [b3129]	-13.138
A_07_P000373	yhaV	b3130	1.09	0.89	1.21	0.81	1.02	0.79	1.17	0.79	1.07	0.41	1.34	0.98	0.75	0.48	chr:3275600-3275659	conserved protein	"orf, hypothetical protein [b3130]"	-18.747
A_07_P000379	agaR	b3131	0.95	0.89	0.95	0.90	1.09	0.98	0.99	1.05	1.07	1.28	1.08	0.99	1.91	1.83	chr:3275985-3275926	DNA-binding transcriptional dual regulator	putative DEOR-type transcriptional regulator of aga operon [b3131]	12.098
A_07_P000381	kbaZ	b3132		0.51	0.01	0.29	0.01		0.01		0.01	0.01	0.87	0.79		0.01	chr:3277268-3277327	"tagatose 6-phosphate aldolase 1, kbaZ subunit"	putative tagatose 6-phosphate kinase 2 [b3132]	NaN
A_07_P000390	agaV	b3133	0.38	0.64	0.34	0.49	0.39	0.51	0.20	0.33	0.40	0.12	0.17	0.35	0.12	0.31	chr:3278542-3278601	N-acetylgalactosamine-specific enzyme IIB component of PTS	"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 2 [b3133]"	-107.128
A_07_P000391	agaW	b3134	0.40	0.76	0.70	0.55	0.31	0.52	0.26	0.32	0.31	0.23	0.15	0.36	0.12	0.51	chr:3278937-3278996	pseudo	PTS system N-acetylgalactosameine-specific IIC component 2 [b3134]	-97.225
A_07_P000396	agaA	b3135	0.47	0.74	0.68	0.70	0.24	0.36	0.29	0.45	0.31	0.36	0.33	0.32	0.19	0.38	chr:3279588-3279647	pseudo	putative N-acetylgalactosamine-6-phosphate deacetylase [b3135]	-85.791
A_07_P000404	agaS	b3136	1.07	1.16		1.03	1.16	1.13	0.41		1.44		0.79	0.64	0.62	0.81	chr:3280836-3280895	tagatose-6-phosphate ketose/aldose isomerase	putative tagatose-6-phosphate aldose/ketose isomerase [b3136]	NaN
A_07_P000407	kbaY	b3137	1.05	1.20	1.15	0.78	1.63		1.66		1.43		1.16	0.88		1.61	chr:3281943-3282002	"tagatose 6-phosphate aldolase 1, kbaY subunit"	tagatose-bisphosphate aldolase 2 [b3137]	NaN
A_07_P000415	agaB	b3138	1.53	0.51									2.50	1.26			chr:3282592-3282651	N-acetylgalactosamine-specific enzyme IIB component of PTS	"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 1 [b3138]"	NaN
A_07_P000420	agaC	b3139	1.46	1.51		1.60	0.93	0.92			0.95		1.49	1.37	1.62	2.34	chr:3283048-3283107	N-acetylgalactosamine-specific enzyme IIC component of PTS	PTS system N-acetylgalactosamine-specific IIC component 1 [b3139]	NaN
A_07_P000422	agaD	b3140	1.31	1.26		1.39	1.30	1.05			1.68		1.31	1.29	1.48	1.70	chr:3284140-3284199	N-acetylgalactosamine-specific enzyme IID component of PTS	"PTS system, N-acetylglucosamine enzyme IID component 1 [b3140]"	NaN
A_07_P000426	agaI	b3141	0.55	0.90	1.02	1.01					0.93		1.13	1.43			chr:3284468-3284527	galactosamine-6-phosphate isomerase	putative galactosamine-6-phosphate isomerase [b3141]	NaN
A_07_P000434	yraH	b3142	1.61	0.83	1.83	1.25	1.75	1.18	1.84	1.24	1.93	1.59	2.85	1.38	2.84	1.32	chr:3285910-3285969	predicted fimbrial-like adhesin protein	putative fimbrial-like protein [b3142]	41.787
A_07_P000439	yraI	b3143			1.07												chr:3286659-3286718	predicted periplasmic pilin chaperone	putative chaperone [b3143]	NaN
A_07_P000441	yraJ	b3144	0.59	0.98	0.46	0.83	0.79	0.95	1.06		0.66	0.01	1.22	1.12		0.88	chr:3289277-3289336	predicted outer membrane protein	putative outer membrane protein [b3144]	NaN
A_07_P000449	yraK	b3145	0.84	1.10	0.96	1.05	0.58	0.71	0.92	0.92	0.92	0.94	0.53	0.73	1.65	2.26	chr:3290273-3290332	predicted fimbrial-like adhesin protein	putative fimbrial protein [b3145]	-5.356
A_07_P000455	yraL	b3146	1.34	1.22	1.33	1.68	1.65	1.44	1.63	1.74	1.11	1.55	1.29	1.23	0.71	0.84	chr:3290855-3290796	predicted methyltransferase	"orf, hypothetical protein [b3146]"	19.551
A_07_P000458	yraM	b3147	0.88	1.16	0.84	1.13	0.91	1.20	0.91	1.35	0.96	1.24	0.62	0.85	0.63	0.87	chr:3293314-3293373	conserved protein	putative glycosylase [b3147]	-2.602
A_07_P000461	yraN	b3148	0.85	0.71	0.91	0.93	1.09	0.93	1.25	1.11	1.18	1.12	0.97	0.71	1.03	0.97	chr:3293752-3293811	conserved protein	"orf, hypothetical protein [b3148]"	2.931
A_07_P000466	diaA	b3149	0.87	0.96	0.89	0.89	0.84	0.84	0.93	0.77	0.93	0.75	0.79	0.93	1.11	1.16	chr:3294076-3294135	DnaA initiator-associating factor for replication initiation	"orf, hypothetical protein [b3149]"	-9.893
A_07_P000475	yraP	b3150	0.94	0.90	0.86	1.05	1.00	1.31	0.87	1.10	1.14	1.07	1.17	1.22	0.50	0.54	chr:3294601-3294660	predicted protein	putative periplasmic protein [b3150]	-1.402
A_07_P000479	yraQ	b3151	1.93	1.94	2.27	2.18	2.26	2.25	2.80	2.97	1.99	2.24	2.49	2.37	1.58	1.64	chr:3296100-3296041	predicted permease	"orf, hypothetical protein [b3151]"	61.152
A_07_P000481	yraR	b3152	0.87	1.15	0.97	1.38	1.05	1.28	1.03	1.38	0.82	1.17	0.97	1.15	1.70	2.31	chr:3296292-3296233	predicted nucleoside-diphosphate-sugar epimerase	"orf, hypothetical protein [b3152]"	10.808
A_07_P000486	yhbO	b3153	0.18	0.32	0.23	0.19	0.12	0.20	0.11	0.22	0.16	0.42	0.25	0.42	0.32	0.54	chr:3297367-3297426	predicted intracellular protease	"orf, hypothetical protein [b3153]"	-110.008
A_07_P000491	yhbP	b3154	1.07	1.27	1.62	1.80	0.89	1.01	1.68	1.85	1.20	1.93	1.37	1.68	2.32	2.61	chr:3297841-3297782	conserved protein	"orf, hypothetical protein [b3154]"	34.918
A_07_P000496	yhbQ	b3155	1.95	1.06	2.24	1.22	1.70	1.31	2.66	1.62	1.88	1.51	1.92	1.06	3.26	1.76	chr:3298000-3298059	predicted endonuclease	"orf, hypothetical protein [b3155]"	43.580
A_07_P000501	yhbS	b3156	0.76	1.11	0.61	0.96	0.74	0.88	0.66	0.86	0.86	0.92	0.52	0.72	1.26	1.91	chr:3298510-3298451	predicted acyltransferase with acyl-CoA N-acyltransferase domain	"orf, hypothetical protein [b3156]"	-10.075
A_07_P000510	yhbT	b3157	0.49	0.60	0.55	0.63	0.57	0.74	0.58	0.65	0.57	0.66	0.49	0.67	0.67	0.78	chr:3299126-3299067	predicted lipid carrier protein	"orf, hypothetical protein [b3157]"	-37.739
A_07_P000511	yhbU	b3158	0.75	0.74	0.66	0.95	1.28	1.19	1.44	1.11	1.13	1.40	1.32	1.21	1.42	1.71	chr:3299623-3299682	predicted peptidase (collagenase-like)	putative collagenase [b3158]	16.850
A_07_P000516	yhbV	b3159	0.76	1.78	0.74	1.73	0.79	1.32	0.88		0.67		0.68	2.04	0.56	1.24	chr:3301138-3301197	predicted protease	"orf, hypothetical protein [b3159]"	NaN
A_07_P000523	yhbW	b3160	0.46	0.59	0.35	0.51	0.43	0.58	0.33	0.46	0.55	0.64	0.47	0.69	0.60	0.88	chr:3302091-3302150	predicted enzyme	putative enzyme [b3160]	-46.929
A_07_P000526	mtr	b3161	1.10	1.03	2.02	1.60	1.29	0.96	1.48	1.38	1.07	1.04	2.74	2.39	1.02	0.84	chr:3303551-3303492	tryptophan transporter of high affinity	tryptophan-specific transport protein [b3161]	17.503
A_07_P000534	deaD	b3162	6.22	7.19	7.87	8.74	6.03	5.88	5.62	5.72	4.89	8.27	3.93	4.27	3.00	4.70	chr:3304936-3304877	ATP-dependent RNA helicase	inducible ATP-independent RNA helicase [b3162]	135.862
A_07_P000538	nlpI	b3163	1.21	1.64	1.40	1.54	1.83	1.92	1.34	1.62	1.03	1.76	0.81	1.18	1.15	1.37	chr:3306260-3306201	conserved protein	putative control proteins [b3163]	23.792
A_07_P000545	pnp	b3164	1.26	1.09	1.09	1.60	2.22	2.38	1.16	1.36	1.40	1.11	1.34	1.16	0.38	0.51	chr:3307529-3307470	polynucleotide phosphorylase/polyadenylase	polynucleotide phosphorylase; cytidylate kinase activity [b3164]	11.824
A_07_P000550	rpsO	b3165	1.85	1.11	1.79	1.32	2.24	1.41	1.36	1.15	1.44	1.19	2.74	1.23	2.06	1.45	chr:3309701-3309642	30S ribosomal subunit protein S15	30S ribosomal subunit protein S15 [b3165]	31.213
A_07_P000554	truB	b3166	0.86	0.84	2.16	2.20	1.28	2.01	2.18	2.14	1.11	2.31	1.42	1.72	3.55	3.29	chr:3310049-3309990	tRNA pseudouridine synthase	tRNA pseudouridine 5S synthase [b3166]	46.903
A_07_P000559	rbfA	b3167	1.17	1.14	1.51	1.53	1.52	1.40	1.52	1.41	1.26	1.57	1.22	1.17	1.25	1.33	chr:3311049-3310990	30s ribosome binding factor	ribosome-binding factor A [b3167]	24.548
A_07_P000561	infB	b3168	0.91	1.03	1.50	1.79	1.22	1.51	1.40	1.53	0.75	1.57	1.28	1.45	1.18	1.48	chr:3311489-3311430	"fused protein chain initiation factor 2, IF2: membrane protein/conserved protein"	protein chain initiation factor IF-2 [b3168]	16.778
A_07_P000566	nusA	b3169	1.42	1.66	1.06	1.38	1.55	1.61	1.11	1.38	1.29	1.47	1.35	1.42	0.92	1.10	chr:3314930-3314871	transcription termination/antitermination L factor	transcription pausing; L factor [b3169]	22.142
A_07_P000572	yhbC	b3170	1.73	2.05	1.06	1.27	1.53	1.86	0.92	1.19	1.45	1.17	1.98	2.38	0.57	0.70	chr:3315666-3315607	conserved protein	"orf, hypothetical protein [b3170]"	19.846
A_07_P000576	argG	b3172	3.37	4.04	6.49	7.76	2.49	3.89	3.19	4.32	1.20	1.75	1.09	1.70	3.16	3.91	chr:3317843-3317902	argininosuccinate synthetase	argininosuccinate synthetase [b3172]	62.861
A_07_P000583	yhbX	b3173	0.44	0.35	0.48	0.32	0.56	0.59	0.56	0.61	0.59	0.68	0.82	0.64	0.74	0.65	chr:3318080-3318021	"predicted hydrolase, inner membrane"	putative alkaline phosphatase I [b3173]	-38.951
